"pali"	"english"
"section"	
176	"\esc{\null}"
"evaṃ"	"{of\space such\space a\space nature,\space such}"
"me"	"\esc{\null}"
"sutaṃ"	"\esc{\null}"
"—"	"\esc{\null}"
"ekaṃ"	"{one\space shoulder?}"
"samayaṃ"	"\esc{\null}"
"bhagavā"	"\esc{\null}"
"sāvatthiyaṃ"	"\esc{\null}"
"viharati"	"\esc{\null}"
"pubbārāme"	"\esc{\null}"
"migāramātupāsāde."	"\esc{\null}"
"atha"	"{then;\space now}"
"kho"	"indeed"
"āyasmā"	"venerable"
"ānando"	"ānanda"
"sāyanhasamayaṃ"	"\esc{\null}"
"paṭisallānā"	"\esc{\null}"
"vuṭṭhito"	"\esc{\null}"
"yena"	"\esc{\null}"
"bhagavā"	"\esc{\null}"
"tenupasaṅkami;"	"\esc{\null}"
"upasaṅkamitvā"	"approach"
"bhagavantaṃ"	"\esc{\null}"
"abhivādetvā"	"{respectfully\space greet}"
"ekamantaṃ"	"{on\space one\space side}"
"nisīdi."	"\esc{\null}"
"ekamantaṃ"	"{on\space one\space side}"
"nisinno"	"\esc{\null}"
"kho"	"indeed"
"āyasmā"	"venerable"
"ānando"	"ānanda"
"bhagavantaṃ"	"\esc{\null}"
"etadavoca"	"{chief\space place,\space pre-eminence,\space the\space chief,\space the\space best}"
"section"	
"“ekamidaṃ,"	"\esc{\null}"
"bhante,"	"\esc{\null}"
"samayaṃ"	"\esc{\null}"
"bhagavā"	"\esc{\null}"
"sakkesu"	"\esc{\null}"
"viharati"	"\esc{\null}"
"nagarakaṃ"	"\esc{\null}"
"nāma"	"\esc{\null}"
"sakyānaṃ"	"\esc{\null}"
"nigamo."	"\esc{\null}"
"tattha"	"{there;\space thither;\space in\space that\space case,\space now,\space here;\space in\space that,\space therein}"
"me,"	"\esc{\null}"
"bhante,"	"\esc{\null}"
"bhagavato"	"\esc{\null}"
"sammukhā"	"\esc{\null}"
"sutaṃ,"	"\esc{\null}"
"sammukhā"	"\esc{\null}"
"paṭiggahitaṃ"	"\esc{\null}"
"—"	"\esc{\null}"
"‘suññatāvihārenāhaṃ,"	"\esc{\null}"
"ānanda,"	"ānanda"
"etarahi"	"now"
"bahulaṃ"	"\esc{\null}"
"viharāmī’ti."	"\esc{\null}"
"kacci"	"{perhaps,\space surely}"
"metaṃ,"	"\esc{\null}"
"bhante,"	"\esc{\null}"
"sussutaṃ"	"\esc{\null}"
"suggahitaṃ"	"\esc{\null}"
"sumanasikataṃ"	"\esc{\null}"
"sūpadhāritan”ti?"	"\esc{\null}"
"“taggha"	"\esc{\null}"
"te"	"\esc{\null}"
"etaṃ,"	"{see\space eso}"
"ānanda,"	"ānanda"
"sussutaṃ"	"\esc{\null}"
"suggahitaṃ"	"\esc{\null}"
"sumanasikataṃ"	"\esc{\null}"
"sūpadhāritaṃ."	"\esc{\null}"
"pubbepāhaṃ,"	"\esc{\null}"
"ānanda,"	"ānanda"
"etarahipi"	"\esc{\null}"
"suññatāvihārena"	"\esc{\null}"
"bahulaṃ"	"\esc{\null}"
"viharāmi."	"\esc{\null}"
"seyyathāpi,"	"\esc{\null}"
"ānanda,"	"ānanda"
"ayaṃ"	"this"
"migāramātupāsādo"	"\esc{\null}"
"suñño"	"\esc{\null}"
"hatthigavassavaḷavena,"	"\esc{\null}"
"suñño"	"\esc{\null}"
"jātarūparajatena,"	"gold"
"suñño"	"\esc{\null}"
"itthipurisasannipātena"	"woman"
"atthi"	"{to\space be}"
"cevidaṃ"	"{even;\space if}"
"asuññataṃ"	"{not\space void}"
"yadidaṃ"	"\esc{\null}"
"—"	"\esc{\null}"
"bhikkhusaṅghaṃ"	"\esc{\null}"
"paṭicca"	"\esc{\null}"
"ekattaṃ;"	"\esc{\null}"
"evameva"	"{in\space this\space very\space way,\space even\space thus}"
"kho,"	"indeed"
"ānanda,"	"ānanda"
"bhikkhu"	"\esc{\null}"
"amanasikaritvā"	"{not\space attend\space wisely}"
"gāmasaññaṃ,"	"{village\space perception}"
"amanasikaritvā"	"{not\space attend\space wisely}"
"manussasaññaṃ,"	"\esc{\null}"
"araññasaññaṃ"	"{forest\space perception}"
"paṭicca"	"\esc{\null}"
"manasi"	"\esc{\null}"
"karoti"	"{to\space do,\space make}"
"ekattaṃ."	"unity"
"tassa"	"\esc{\null}"
"araññasaññāya"	"{forest\space perception}"
"cittaṃ"	"mind"
"pakkhandati"	"\esc{\null}"
"pasīdati"	"\esc{\null}"
"santiṭṭhati"	"\esc{\null}"
"adhimuccati."	"{intent\space upon}"
"so"	"\esc{\null}"
"evaṃ"	"{of\space such\space a\space nature,\space such}"
"pajānāti"	"\esc{\null}"
"section"	
"‘ye"	"\esc{\null}"
"assu"	"{may\space be}"
"darathā"	"\esc{\null}"
"gāmasaññaṃ"	"{village\space perception}"
"paṭicca"	"\esc{\null}"
"tedha"	"\esc{\null}"
"na"	"\esc{\null}"
"santi,"	"\esc{\null}"
"ye"	"\esc{\null}"
"assu"	"{may\space be}"
"darathā"	"\esc{\null}"
"manussasaññaṃ"	"\esc{\null}"
"paṭicca"	"\esc{\null}"
"tedha"	"\esc{\null}"
"na"	"\esc{\null}"
"santi,"	"\esc{\null}"
"atthi"	"{to\space be}"
"cevāyaṃ"	"{even;\space if}"
"darathamattā"	"\esc{\null}"
"yadidaṃ"	"\esc{\null}"
"section"	
"araññasaññaṃ"	"{forest\space perception}"
"paṭicca"	"\esc{\null}"
"ekattan’ti."	"unity"
"so"	"\esc{\null}"
"‘suññamidaṃ"	"\esc{\null}"
"saññāgataṃ"	"\esc{\null}"
"gāmasaññāyā’ti"	"\esc{\null}"
"pajānāti,"	"\esc{\null}"
"‘suññamidaṃ"	"\esc{\null}"
"saññāgataṃ"	"\esc{\null}"
"manussasaññāyā’ti"	"\esc{\null}"
"pajānāti,"	"\esc{\null}"
"‘atthi"	"\esc{\null}"
"cevidaṃ"	"{even;\space if}"
"asuññataṃ"	"{not\space void}"
"yadidaṃ"	"\esc{\null}"
"—"	"\esc{\null}"
"araññasaññaṃ"	"{forest\space perception}"
"paṭicca"	"\esc{\null}"
"ekattan’ti."	"unity"
"iti"	"thus"
"yañhi"	"\esc{\null}"
"kho"	"indeed"
"tattha"	"{there;\space thither;\space in\space that\space case,\space now,\space here;\space in\space that,\space therein}"
"na"	"\esc{\null}"
"hoti"	"\esc{\null}"
"tena"	"\esc{\null}"
"taṃ"	"{see\space tvaṃ}"
"suññaṃ"	"\esc{\null}"
"samanupassati,"	"\esc{\null}"
"yaṃ"	"\esc{\null}"
"pana"	"\esc{\null}"
"tattha"	"{there;\space thither;\space in\space that\space case,\space now,\space here;\space in\space that,\space therein}"
"avasiṭṭhaṃ"	"{Remaining,\space left}"
"hoti"	"\esc{\null}"
"taṃ"	"{see\space tvaṃ}"
"‘santamidaṃ"	"\esc{\null}"
"atthī’”ti"	"\esc{\null}"
"pajānāti."	"\esc{\null}"
"evampissa"	"thus"
"esā,"	"{see\space ayaṃ}"
"ānanda,"	"ānanda"
"yathābhuccā"	"\esc{\null}"
"avipallatthā"	"sheep"
"parisuddhā"	"\esc{\null}"
"suññatāvakkanti"	"\esc{\null}"
"bhavati."	"\esc{\null}"
177	"\esc{\null}"
"“puna"	"\esc{\null}"
"caparaṃ,"	"{and\space further}"
"ānanda,"	"ānanda"
"bhikkhu"	"\esc{\null}"
"amanasikaritvā"	"{not\space attend\space wisely}"
"manussasaññaṃ,"	"\esc{\null}"
"amanasikaritvā"	"{not\space attend\space wisely}"
"araññasaññaṃ,"	"{forest\space perception}"
"pathavīsaññaṃ"	"\esc{\null}"
"paṭicca"	"\esc{\null}"
"manasi"	"\esc{\null}"
"karoti"	"{to\space do,\space make}"
"ekattaṃ."	"unity"
"tassa"	"\esc{\null}"
"pathavīsaññāya"	"\esc{\null}"
"cittaṃ"	"mind"
"pakkhandati"	"\esc{\null}"
"pasīdati"	"\esc{\null}"
