Pali,English,Type
cattārome,four.these
āhārā,nutriment
bhūtānaṃ,become
vā,or
sattānaṃ,being
ṭhitiyā,continuance
sambhavesīnaṃ,one seeking birth
anuggahāya,assistance
katame,what
cattāro,four
kabaḷīkāro,solid food
āhāro,nutriment
oḷāriko,gross
sukhumo,subtle
phasso,contact
dutiyo,second
manosañcetanā,mental volition
tatiyā,third
viññāṇaṃ,consciousness
catutthaṃ,fourth
ime,this
kho,surely
kathañca,how
daṭṭhabbo,see
seyyathāpi,just as
dve,two
jāyampatikā,husb\&wife
parittaṃ,little
ādāya, take
kantāramaggaṃ, difficult.path
paṭipajjeyyuṃ, enters upon
tesamassa,he is
ekaputtako,one.son
piyo,dear
manāpo,pleasing
atha,then
tesaṃ,that
dvinnaṃ, give
jāyampatikānaṃ,husb\&wife
kantāragatānaṃ,difficult.path
yā,which
parittā,little
sambalamattā,provision
sā,
parikkhayaṃ,exhausted
pariyādānaṃ,used up
gaccheyya,go
siyā,to be
ca,and
nesaṃ,is not 
kantārāvaseso,difficult.path
anatiṇṇo,crossed
evamassa,only
amhākaṃ,we are
parikkhīṇā,used up
pariyādiṇṇā,exhaust
atthi,to be
cāyaṃ,and then
anittiṇṇo,not cross
yaṃnūna,which.certain
mayaṃ,we
imaṃ,this
ekaputtakaṃ,one.son
piyaṃ,dear
manāpaṃ,pleasing
vadhitvā,have killed
vallūrañca,dried flesh
soṇḍikañca,spiced meat
karitvā,having done
puttamaṃsāni,son.flesh
khādantā,eating
evaṃ,thus
taṃ,that
kantārāvasesaṃ,wilderness
nitthareyyāma,cross over
mā,
sabbeva,all
tayo,three
vinassimhā,perish
te,ta(d)
nitthareyyuṃ,cross over
ceva,if
khādeyyuṃ,eat
ure,chest
paṭipiseyyuṃ,crush
kahaṃ,where
ekaputtaka,one.son
ekaputtakā,one.son
kiṃ,what
maññatha,imagine
api,even
nu,
davāya,fun
āhāraṃ,food
āhāreyyuṃ,would eat
madāya,intoxication
maṇḍanāya,adornment
vibhūsanāya,decoration
āhāreyyun,would eat
no,not
hetaṃ,this
nanu,surely
yāvadeva,as far.only
kantārassa,wilderness
nittharaṇatthāya,traversing
evameva,only
khvāhaṃ,kho.ahaṁ
